gepaf,18060
gepsipolim,8140
gesi,20270
getip,6800
giel,87280
gipis,23020
gpcpd,7220
grife,66240
historia da ciencia,11240
lacgeo,13080
lapis,25760
ledep,6120
luddens,14640
nap,25670
nepeg,42230
plangea,27170
Biomateriais,3290
Biomedicina,19180
Biotecnologia,6330
Cultura de células,8860
Ecologia e evolução,19130
Física(Matéria Mole),6290
Genética ,7950
Gestão Ambiental,7970
GRIA,50040
Marilia Velardi,7940
Mariana Harumi,2010
Lab.Astrofísica,7640
LabCAF,119940
Quimica,3510
Saneamento,7620
Textil e Moda,19510
Ciências da Terra,
